"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"89","Pinus jeffreyi",504.474503124072,5.04474503124072,527.089799261245,5.27089799261245,504.474503124072,5.04474503124072,527.089799261245,5.27089799261245,269149.767341942,2691.49767341942,271398.529738649,2713.98529738648
"90","Pinus nigra",349.498154287533,3.49498154287533,363.398090354506,3.63398090354506,373.367092274703,3.73367092274703,383.964047982971,3.83964047982971,1463001.58604201,14630.0158604201,1470535.74841217,14705.3574841217
"91","Pinus palustris",306.429600032172,3.06429600032172,282.7669163615,2.827669163615,306.429600032172,3.06429600032172,282.7669163615,2.827669163615,524822.113052428,5248.22113052428,507973.447305171,5079.73447305171
"92","Pinus pinaster",387.491809693486,3.87491809693486,385.73931789372,3.8573931789372,406.702108678945,4.06702108678945,398.14586853537,3.9814586853537,5439974.94062266,54399.7494062266,5447403.69121507,54474.0369121507
"93","Pinus pinea",218.15725913963,2.1815725913963,222.823647371437,2.22823647371437,225.875852432219,2.25875852432219,227.331323912192,2.27331323912192,554242.482699258,5542.42482699258,558608.903521403,5586.08903521403
"94","Pinus ponderosa",441.868742896206,4.41868742896207,440.205112480379,4.40205112480379,441.868742896206,4.41868742896207,440.205112480379,4.40205112480379,3153118.86292897,31531.1886292897,3145906.78580972,31459.0678580972
"95","Pinus radiata",454.57965464555,4.5457965464555,439.751057623113,4.39751057623113,506.5384680285,5.065384680285,502.295415569653,5.02295415569653,1045650.41877285,10456.5041877285,1031458.00950176,10314.5800950176
"96","Pinus resinosa",329.267061107362,3.29267061107362,315.552631531089,3.15552631531089,333.849532161603,3.33849532161603,322.975495186093,3.22975495186093,906222.357225432,9062.22357225432,890704.084261954,8907.04084261954
"97","Pinus rigida",308.224648340549,3.08224648340549,298.018942585441,2.98018942585441,308.224648340549,3.08224648340549,298.018942585441,2.98018942585441,381862.740376116,3818.62740376116,377179.205433207,3771.79205433207
"98","Pinus serotina",326.771572751776,3.26771572751776,297.760126037722,2.97760126037722,326.771572751776,3.26771572751776,297.760126037722,2.97760126037722,102741.35473421,1027.4135473421,99698.7700221838,996.987700221838
"99","Pinus strobus",365.194571330556,3.65194571330556,359.491423801877,3.59491423801877,371.898863946828,3.71898863946828,363.496619396977,3.63496619396977,1537874.76959367,15378.7476959367,1528558.38640388,15285.5838640388
"100","Pinus sylvestris",452.953504716324,4.52953504716324,437.912717703095,4.37912717703095,494.331034894383,4.94331034894383,492.177161532612,4.92177161532612,5903789.05811156,59037.8905811156,5900741.54436149,59007.4154436149
"101","Pinus taeda",327.296858888689,3.27296858888689,303.530142279451,3.03530142279451,327.296858888689,3.27296858888689,303.530142279451,3.03530142279451,5620220.06829435,56202.2006829435,5447391.81022458,54473.9181022458
"102","Pinus uncinata",305.288470715135,3.05288470715135,306.651480345551,3.06651480345551,308.745363710646,3.08745363710646,308.160802931929,3.08160802931929,453289.95868339,4532.8995868339,454821.852925634,4548.21852925634
"103","Pinus virginiana",345.483186799046,3.45483186799046,338.90899177893,3.3890899177893,345.483186799046,3.45483186799046,338.90899177893,3.3890899177893,1034965.9674923,10349.659674923,1027092.33641724,10270.9233641724
"104","Platanus occidentalis",436.409433132371,4.36409433132371,437.783280365996,4.37783280365996,436.349466581385,4.36349466581385,437.717616130445,4.37717616130445,267137.317728439,2671.37317728439,267269.682779905,2672.69682779905
"105","Populus balsamifera",553.004312348018,5.53004312348018,570.614155108689,5.70614155108689,553.036907544093,5.53036907544093,570.689868012247,5.70689868012247,133716.623208122,1337.16623208122,134416.514993633,1344.16514993633
"106","Populus deltoides",525.891112105553,5.25891112105553,525.569701883975,5.25569701883975,525.891112105553,5.25891112105553,525.569701883975,5.25569701883975,144074.459924375,1440.74459924375,144727.034949863,1447.27034949863
"107","Populus grandidentata",316.091184242018,3.16091184242018,314.870783332027,3.14870783332027,315.902790261513,3.15902790261513,314.778157968467,3.14778157968467,1028050.23671815,10280.5023671815,1023785.74051848,10237.8574051848
"108","Populus nigra",546.97489403835,5.4697489403835,549.044477953157,5.49044477953157,547.212718617521,5.47212718617521,549.320915125454,5.49320915125454,242574.93558043,2425.7493558043,243935.941014699,2439.35941014699
"109","Populus tremula",376.155911681294,3.76155911681294,372.063954550741,3.72063954550741,395.087495610227,3.95087495610227,390.024625088673,3.90024625088673,531031.829712612,5310.31829712612,528307.571093331,5283.07571093331
