"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"108","Quercus stellata",12.1761158365749,0.121761158365749,12.1545091189593,0.121545091189593,14.281086178418,0.14281086178418,14.2151780327441,0.142151780327441,-332614.302191386,-3326.14302191386,-333467.946590891,-3334.67946590891
"109","Quercus velutina",11.1791603758237,0.111791603758237,11.1657845656254,0.111657845656254,13.4934906324498,0.134934906324498,13.458791000124,0.13458791000124,-500729.106585885,-5007.29106585885,-502041.468556995,-5020.41468556995
"110","Quercus virginiana",14.1997029362158,0.141997029362158,14.1944168121346,0.141944168121346,14.1997029362158,0.141997029362158,14.1944168121346,0.141944168121346,-36747.6551241591,-367.476551241591,-36923.4118510149,-369.234118510149
"111","Robinia pseudoacacia",12.3565534708328,0.123565534708328,12.3364196000486,0.123364196000486,13.1462083816565,0.131462083816565,13.1930102467544,0.131930102467544,-107733.845606786,-1077.33845606786,-108076.575137229,-1080.76575137229
"112","Sabal palmetto",16.8659950699524,0.168659950699524,16.8882442252574,0.168882442252574,16.8659950699524,0.168659950699524,16.8882442252574,0.168882442252574,-9710.77774718673,-97.1077774718673,-9737.37791055426,-97.3737791055426
"113","Salix",20.3657239380868,0.203657239380868,20.5774907560082,0.205774907560083,20.3657239380868,0.203657239380868,20.5774907560082,0.205774907560083,-626.975488468877,-6.26975488468877,-521.736491814126,-5.21736491814126
"114","Salix nigra",14.6582734395174,0.146582734395174,14.6874290169117,0.146874290169117,14.6582734395174,0.146582734395174,14.6874290169117,0.146874290169117,-27259.0103883052,-272.590103883052,-27361.5193208362,-273.615193208362
"115","Sassafras albidum",11.2954134814922,0.112954134814922,11.2999553620991,0.112999553620991,12.6276684042498,0.126276684042498,12.6001731255281,0.126001731255281,-105080.60268148,-1050.8060268148,-105427.91045302,-1054.2791045302
"116","Taxodium distichum",14.8008772417706,0.148008772417706,14.9636197224277,0.149636197224277,14.9885242177083,0.149885242177083,15.1391182112489,0.151391182112489,-61011.7869145796,-610.117869145796,-59687.9319340106,-596.879319340106
"117","Thuja occidentalis",17.3172760282427,0.173172760282427,17.5054367383878,0.175054367383878,21.1251839314417,0.211251839314417,21.2965982481308,0.212965982481308,-228640.624646542,-2286.40624646542,-222205.040992595,-2222.05040992595
"118","Thuja plicata",18.8089713440214,0.188089713440214,18.9785460987215,0.189785460987215,18.8089713440214,0.188089713440214,18.9785460987215,0.189785460987215,-36342.3411159382,-363.423411159382,-34993.276378058,-349.93276378058
"119","Tilia americana",11.7387964920505,0.117387964920505,11.8404181566033,0.118404181566033,14.5289633832793,0.145289633832793,14.6515251881223,0.146515251881223,-264968.510500883,-2649.68510500883,-261498.885050626,-2614.98885050626
